Dataset,Add_Ratio,Aeda_Acc,Num_Acc,Alpha_Acc,Hybrid_Acc
cr,0.1,0.8208425720620843,0.835920177383592,0.8186252771618625,0.827050997782705
cr,0.2,0.8150776053215077,0.8332594235033259,0.8164079822616408,0.8177383592017738
cr,0.3,0.8208425720620843,0.8164079822616408,0.8221729490022174,0.8159645232815965
cr,0.4,0.8323725055432373,0.8133037694013303,0.8208425720620843,0.8226164079822617
cr,0.5,0.8101995565410199,0.8297117516629712,0.8212860310421286,0.8217294900221729
cr,0.6,0.811529933481153,0.8248337028824834,0.8079822616407982,0.8217294900221729
cr,0.7,0.8172949002217296,0.8141906873614191,0.8199556541019956,0.8226164079822617
cr,0.8,0.8208425720620843,0.811529933481153,0.8172949002217293,0.8106430155210642
cr,0.9,0.8057649667405766,0.8203991130820398,0.8212860310421286,0.8235033259423503
cr,1.0,0.8164079822616408,0.8239467849223947,0.8181818181818181,0.8252771618625276
pc,0.1,0.9255597657595592,0.9223217361350328,0.9213227695487426,0.9224939717533586
pc,0.2,0.9251808473992422,0.9236996210816397,0.9226662073716845,0.9221150533930416
pc,0.3,0.9243541164312779,0.9218394764037203,0.9233207027213227,0.9259731312435411
pc,0.4,0.9263864967275233,0.9240440923182914,0.9232862555976575,0.9261109197382019
pc,0.5,0.9260075783672063,0.924560799173269,0.9240096451946263,0.9233895969686532
pc,0.6,0.9244574578022735,0.9203926972097829,0.9235273854633139,0.9250086117809163
pc,0.7,0.9250086117809163,0.9226317602480194,0.9230451257320013,0.9250086117809163
pc,0.8,0.9243885635549433,0.9239407509472958,0.922390630382363,0.9232173613503273
pc,0.9,0.9272132276954874,0.9239063038236306,0.920599379951774,0.9242852221839476
pc,1.0,0.9240440923182914,0.9242507750602824,0.9240440923182914,0.9240096451946263
sst2,0.1,0.8284459088412961,0.8300933552992861,0.8313014827018123,0.8313014827018123
sst2,0.2,0.8252608456891817,0.8272377814387699,0.8343767160900605,0.8266886326194399
sst2,0.3,0.82888522789676,0.8365733113673806,0.8387699066447007,0.8347062053816584
sst2,0.4,0.8326194398682043,0.8393190554640307,0.8336079077429984,0.8265788028555738
sst2,0.5,0.8340472267984624,0.8341570565623284,0.8297638660076881,0.828665568369028
sst2,0.6,0.8322899505766064,0.8306425041186161,0.8327292696320703,0.8359143327841846
sst2,0.7,0.8334980779791323,0.8344865458539263,0.8394288852278967,0.8359143327841846
sst2,0.8,0.8355848434925864,0.8351455244371225,0.8393190554640307,0.8380010982976387
sst2,0.9,0.8292147171883582,0.8349258649093905,0.8403075233388249,0.8327292696320703
sst2,1.0,0.8316309719934102,0.828116419549698,0.8331685886875343,0.8399780340472267
subj,0.1,0.9282,0.9263999999999999,0.9280000000000002,0.9268000000000001
subj,0.2,0.9274000000000001,0.9301999999999999,0.9286,0.9269999999999999
subj,0.3,0.9252,0.9256,0.9259999999999999,0.9296000000000001
subj,0.4,0.9156000000000001,0.9308,0.9321999999999999,0.9096
subj,0.5,0.9226000000000001,0.9282,0.9280000000000002,0.9224
subj,0.6,0.9264000000000001,0.924,0.9280000000000002,0.9212
subj,0.7,0.9224,0.9308,0.9280000000000002,0.9254000000000001
subj,0.8,0.923,0.932,0.9336,0.9292
subj,0.9,0.9256,0.9296000000000001,0.9288000000000001,0.9280000000000002
subj,1.0,0.9234,0.929,0.9372,0.9244
trec,0.1,0.9,0.8987999999999999,0.8976000000000001,0.8964000000000001
trec,0.2,0.9044000000000001,0.9064,0.8952,0.9064
trec,0.3,0.9044000000000001,0.9067999999999999,0.8952,0.898
trec,0.4,0.9072000000000001,0.8987999999999999,0.9008,0.9124000000000001
trec,0.5,0.9024000000000001,0.9028,0.9052,0.8992000000000001
trec,0.6,0.898,0.9108,0.9108,0.9056000000000001
trec,0.7,0.914,0.9004,0.9067999999999999,0.9052
trec,0.8,0.8987999999999999,0.9099999999999999,0.9084,0.8960000000000001
trec,0.9,0.9036,0.8956,0.9056000000000001,0.9016
trec,1.0,0.9076000000000001,0.8976000000000001,0.9036,0.9040000000000001
