Dataset,Increment,Orig_Acc,Eda_Acc,Aeda_Acc,Num_Acc,Alpha_Acc,Hybrid_Acc
cr,0.01,0.6603104212860311,0.6607538802660754,0.6607538802660754,0.6607538802660754,0.6607538802660754,0.6607538802660754
cr,0.05,0.755210643015521,0.7241685144124169,0.741019955654102,0.7223946784922395,0.7272727272727273,0.7237250554323725
cr,0.1,0.6607538802660754,0.7365853658536585,0.7725055432372505,0.7667405764966742,0.7631929046563193,0.761419068736142
cr,0.2,0.6607538802660754,0.7481152993348115,0.7640798226164079,0.7631929046563193,0.7640798226164079,0.7707317073170732
cr,0.3,0.7201773835920178,0.765410199556541,0.7875831485587583,0.7698447893569844,0.7862527716186253,0.7782705099778271
cr,0.4,0.7893569844789357,0.7840354767184035,0.7968957871396896,0.788470066518847,0.7844789356984478,0.7982261640798226
cr,0.5,0.7751662971175166,0.7946784922394678,0.7977827050997782,0.78980044345898,0.8022172949002216,0.8062084257206209
cr,0.6,0.7849223946784922,0.7933481152993348,0.8146341463414635,0.7853658536585366,0.8013303769401331,0.811529933481153
cr,0.7,0.7906873614190688,0.8004434589800443,0.8079822616407982,0.7995565410199557,0.8057649667405766,0.8110864745011087
cr,0.8,0.8013303769401331,0.807538802660754,0.8168514412416851,0.8088691796008869,0.8035476718403547,0.8208425720620843
cr,0.9,0.8070953436807095,0.8079822616407982,0.8101995565410199,0.8164079822616408,0.8124168514412418,0.8048780487804879
cr,1.0,0.8119733924611973,0.8133037694013303,0.8150776053215077,0.8226164079822617,0.8230598669623059,0.8252771618625276
sst2,0.01,0.5589236683141131,0.5099395936298736,0.5384953322350358,0.5241076331685888,0.5511257550796266,0.51444261394838
sst2,0.05,0.4991762767710049,0.757166392092257,0.7609006040637013,0.7468423942888522,0.7635365183964854,0.7598023064250412
sst2,0.1,0.7905546403075233,0.7846238330587589,0.7838550247116969,0.7876990664470072,0.7860516199890171,0.7786930258099944
sst2,0.2,0.8007688083470621,0.7954969796814937,0.7945085118066996,0.7974739154310818,0.799890170236134,0.7991213618890719
sst2,0.3,0.7954969796814937,0.8064799560680944,0.8040637012630423,0.8081274025260846,0.814058209774849,0.8070291048874244
sst2,0.4,0.8133992311916529,0.8026359143327841,0.8041735310269083,0.7982427237781439,0.8096650192202087,0.8097748489840747
sst2,0.5,0.815046677649643,0.8036243822075783,0.80219659527732,0.8109829763866008,0.7986820428336079,0.8042833607907743
sst2,0.6,0.8068094453596923,0.8083470620538165,0.8050521691378364,0.8126304228445909,0.8076880834706206,0.8036243822075783
sst2,0.7,0.8161449752883032,0.8105436573311368,0.8192202086765514,0.8106534870950026,0.8252608456891817,0.8139483800109829
sst2,0.8,0.8262493135639758,0.8099945085118068,0.8263591433278418,0.8184514003294894,0.828226249313564,0.8254805052169137
sst2,0.9,0.8180120812740252,0.814827018121911,0.8273476112026359,0.8243822075782538,0.8258099945085118,0.8295442064799561
sst2,1.0,0.8248215266337178,0.8284459088412959,0.8233937397034596,0.8238330587589238,0.8356946732564525,0.8326194398682043
subj,0.01,0.8299999999999998,0.8294,0.8385999999999999,0.8336,0.8432000000000001,0.8379999999999999
subj,0.05,0.889,0.8852,0.8884000000000001,0.8870000000000001,0.8886,0.8892
subj,0.1,0.8926000000000001,0.8916000000000001,0.8939999999999999,0.8892,0.8976000000000001,0.8886
subj,0.2,0.8968,0.8800000000000001,0.8958,0.8966000000000001,0.8962,0.9040000000000001
subj,0.3,0.8984,0.8862,0.9044000000000001,0.913,0.9077999999999999,0.9120000000000001
subj,0.4,0.9030000000000001,0.9077999999999999,0.9134,0.9162000000000001,0.9138,0.9198000000000001
subj,0.5,0.9109999999999999,0.9030000000000001,0.9136000000000001,0.9196,0.9208000000000001,0.9194000000000001
