cr, increment, orig_acc, eda_acc, aeda_acc, num_acc, alpha_acc, hybrid_acc
cr, 0.01, 0.6607538802660754, 0.6607538802660754, 0.6607538802660754, 0.6607538802660754, 0.6607538802660754, 0.6607538802660754
cr, 0.05, 0.7494456762749445, 0.7272727272727273, 0.7694013303769401, 0.7405764966740577, 0.729490022172949, 0.7139689578713969
cr, 0.1, 0.6607538802660754, 0.7272727272727273, 0.7738359201773836, 0.7405764966740577, 0.7694013303769401, 0.7583148558758315
cr, 0.2, 0.6607538802660754, 0.7738359201773836, 0.7605321507760532, 0.7827050997782705, 0.7871396895787139, 0.7827050997782705
cr, 0.3, 0.6607538802660754, 0.7694013303769401, 0.7982261640798226, 0.7760532150776053, 0.7937915742793792, 0.7804878048780488
cr, 0.4, 0.7804878048780488, 0.7804878048780488, 0.7893569844789357, 0.7849223946784922, 0.7871396895787139, 0.7893569844789357
cr, 0.5, 0.7849223946784922, 0.7849223946784922, 0.7849223946784922, 0.7849223946784922, 0.7915742793791575, 0.802660753880266
cr, 0.6, 0.7937915742793792, 0.7937915742793792, 0.8181818181818182, 0.7915742793791575, 0.811529933481153, 0.8093126385809313
cr, 0.7, 0.7982261640798226, 0.8226164079822617, 0.8093126385809313, 0.8070953436807096, 0.8137472283813747, 0.8093126385809313
cr, 0.8, 0.8070953436807096, 0.8181818181818182, 0.8248337028824834, 0.7915742793791575, 0.7982261640798226, 0.8403547671840355
cr, 0.9, 0.8203991130820399, 0.8137472283813747, 0.8004434589800443, 0.8270509977827051, 0.802660753880266, 0.8159645232815964
cr, 1, 0.8181818181818182, 0.8203991130820399, 0.8048780487804879, 0.8314855875831486, 0.844789356984479, 0.835920177383592

sst2, increment, orig_acc, eda_acc, aeda_acc, num_acc, alpha_acc, hybrid_acc
sst2, 0.01, 0.5376166941241076, 0.49917627677100496, 0.5348709500274574, 0.4986271279516749, 0.5041186161449753, 0.499725425590335
sst2, 0.05, 0.49917627677100496, 0.7534321801208127, 0.7528830313014827, 0.7468423942888522, 0.7561779242174629, 0.7699066447007139
sst2, 0.1, 0.7880285557386052, 0.785282811641955, 0.7792421746293245, 0.7924217462932455, 0.7786930258099946, 0.7726523887973641
sst2, 0.2, 0.8094453596924767, 0.8023064250411862, 0.7918725974739155, 0.7907742998352554, 0.8034047226798462, 0.8028555738605162
sst2, 0.3, 0.7951674903898956, 0.8050521691378364, 0.800109829763866, 0.8099945085118067, 0.8154859967051071, 0.8099945085118067
sst2, 0.4, 0.8165842943437671, 0.7979132344865458, 0.8099945085118067, 0.7896760021965953, 0.8083470620538166, 0.8039538714991763
sst2, 0.5, 0.8171334431630972, 0.7962657880285557, 0.8138385502471169, 0.8099945085118067, 0.7649643053267435, 0.8023064250411862
sst2, 0.6, 0.8182317408017573, 0.8066996155958265, 0.8083470620538166, 0.8154859967051071, 0.8138385502471169, 0.8138385502471169
sst2, 0.7, 0.8171334431630972, 0.8083470620538166, 0.8220757825370676, 0.8165842943437671, 0.8204283360790774, 0.8105436573311368
sst2, 0.8, 0.827567270730368, 0.7995606809445359, 0.814936847885777, 0.8121911037891268, 0.8193300384404174, 0.8248215266337178
sst2, 0.9, 0.8226249313563976, 0.8094453596924767, 0.8259198242723779, 0.8231740801757276, 0.8270181219110379, 0.829763866007688
sst2, 1, 0.8314113124656782, 0.8358045030203185, 0.7951674903898956, 0.8056013179571664, 0.8341570565623284, 0.8385502471169687

subj, increment, orig_acc, eda_acc, aeda_acc, num_acc, alpha_acc, hybrid_acc
subj, 0.01, 0.816, 0.833, 0.838, 0.831, 0.852, 0.834
subj, 0.05, 0.886, 0.89, 0.887, 0.893, 0.884, 0.886
subj, 0.1, 0.894, 0.88, 0.894, 0.901, 0.901, 0.889
subj, 0.2, 0.892, 0.893, 0.897, 0.905, 0.893, 0.903
subj, 0.3, 0.913, 0.884, 0.915, 0.912, 0.904, 0.912
subj, 0.4, 0.886, 0.908, 0.926, 0.92, 0.909, 0.917
subj, 0.5, 0.906, 0.902, 0.917, 0.92, 0.922, 0.919
subj, 0.6, 0.911, 0.915, 0.92, 0.919, 0.922, 0.916
subj, 0.7, 0.911, 0.917, 0.923, 0.921, 0.931, 0.924
subj, 0.8, 0.919, 0.899, 0.933, 0.93, 0.93, 0.93
