Dataset,Num_aug,Eda_Acc,Aeda_Acc,Num_Acc,Alpha_Acc,Hybrid_Acc
cr,1,0.8131929046563193,0.8070953436807096,0.8109756097560976,0.811529933481153,0.8070953436807096
cr,3,0.8120842572062085,0.8181818181818181,0.8082039911308204,0.8148558758314856,0.8209534368070953
cr,6,0.8270509977827051,0.8237250554323725,0.8059866962305986,0.8098669623059866,0.8253880266075388
cr,9,0.8220620842572062,0.8242793791574279,0.8237250554323725,0.8176274944567627,0.8209534368070953
cr,12,0.8148558758314856,0.8276053215077606,0.8070953436807096,0.824279379157428,0.8231707317073171
cr,15,0.8126385809312638,0.8148558758314856,0.8104212860310421,0.8015521064301552,0.8148558758314857
cr,18,0.8298226164079823,0.8137472283813747,0.8192904656319291,0.8209534368070954,0.8220620842572062
cr,20,0.815410199556541,0.8292682926829268,0.823170731707317,0.8159645232815964,0.8165188470066519
pc,1,0.9059593523940752,0.9266276265931794,0.9279193937306236,0.9258095074061315,0.9235704443678951
pc,3,0.9047537030657941,0.9263692731656906,0.9249483293145022,0.9260678608336204,0.9248622115053393
pc,6,0.8996296934205994,0.9270582156389942,0.9236135032724768,0.9223217361350328,0.923914915604547
pc,9,0.9035911126420944,0.926584567688598,0.9250775060282466,0.92400103341371,0.9236135032724768
pc,12,0.9050120564932829,0.9262831553565276,0.9240440923182914,0.9221495005167069,0.9224509128487772
sst2,1,0.8196046128500823,0.827567270730368,0.836216364634816,0.8239978034047227,0.8259198242723779
sst2,3,0.8296265788028556,0.8290774299835255,0.835941790225151,0.8288028555738605,0.8274299835255354
sst2,6,0.8239978034047226,0.8314113124656781,0.8385502471169687,0.8285282811641954,0.8369028006589786
sst2,9,0.8161724327292696,0.8344316309719935,0.8390993959362988,0.8336079077429983,0.8311367380560132
sst2,12,0.8117792421746293,0.8300384404173531,0.7926963207029105,0.8309994508511807,0.8384129599121362
sst2,15,0.7968149368478858,0.8267435475013729,0.8375892366831411,0.8301757276221856,0.8261943986820428
sst2,18,0.7942064799560681,0.828665568369028,0.8330587589236683,0.8311367380560132,0.8282537067545305
sst2,20,0.8218012081274025,0.8263316858868753,0.8344316309719935,0.8381383855024712,0.8314113124656782
subj,1,0.9197500000000001,0.927,0.9247500000000001,0.9245000000000001,0.92325
subj,3,0.9195,0.927,0.9275,0.9217500000000001,0.925
subj,6,0.91525,0.927,0.9305000000000001,0.931,0.9297500000000001
subj,9,0.917,0.9275,0.93025,0.92525,0.92825
subj,12,0.9205000000000001,0.9237500000000001,0.9325000000000001,0.9307500000000001,0.9327500000000001
subj,15,0.9127500000000001,0.9267500000000001,0.93475,0.9305000000000001,0.9295
subj,18,0.921,0.926,0.9275,0.9245000000000001,0.93275
subj,20,0.918,0.9325000000000001,0.929,0.9287500000000001,0.9275
trec,1,0.655,0.8835,0.874,0.879,0.86
trec,3,0.6205,0.8855,0.889,0.891,0.889
trec,6,0.6005,0.9005000000000001,0.885,0.892,0.902
trec,9,0.6255,0.895,0.9025000000000001,0.9065000000000001,0.897
trec,12,0.712,0.9015,0.899,0.901,0.8975
trec,15,0.6859999999999999,0.903,0.889,0.91,0.913
trec,18,0.742,0.8965000000000001,0.9075,0.9125000000000001,0.9035
trec,20,0.615,0.9175,0.9035,0.909,0.8755
