cr, numaug, eda_acc, aeda_acc, num_acc, alpha_acc, hybrid_acc
cr, orig_acc: 0.8270509977827051
cr, 1, 0.8226164079822617, 0.8093126385809313, 0.8048780487804879, 0.8159645232815964, 0.8093126385809313
cr, 3, 0.8093126385809313, 0.8381374722838137, 0.8048780487804879, 0.8159645232815964, 0.8270509977827051
cr, 6, 0.8425720620842572, 0.8425720620842572, 0.8004434589800443, 0.8181818181818182, 0.835920177383592
cr, 9, 0.8337028824833703, 0.811529933481153, 0.8203991130820399, 0.8248337028824834, 0.8181818181818182
cr, 12, 0.8137472283813747, 0.8292682926829268, 0.7893569844789357, 0.8314855875831486, 0.8137472283813747
cr, 15, 0.7915742793791575, 0.8381374722838137, 0.811529933481153, 0.8004434589800443, 0.8314855875831486
cr, 18, 0.8292682926829268, 0.8159645232815964, 0.8270509977827051, 0.8314855875831486, 0.8159645232815964
cr, 20, 0.8093126385809313, 0.8403547671840355, 0.811529933481153, 0.8070953436807096, 0.8470066518847007

sst2, numaug, eda_acc, aeda_acc, num_acc, alpha_acc, hybrid_acc
sst2, orig_acc: 0.8303130148270181
sst2, 1, 0.814387699066447, 0.8204283360790774, 0.8369028006589786, 0.8193300384404174, 0.829214717188358
sst2, 3, 0.8330587589236683, 0.829763866007688, 0.8325096101043383, 0.8314113124656782, 0.8330587589236683
sst2, 6, 0.829763866007688, 0.829763866007688, 0.8478857770455793, 0.8363536518396485, 0.8462383305875892
sst2, 9, 0.8209774848984075, 0.8374519494783086, 0.841845140032949, 0.8369028006589786, 0.8363536518396485
sst2, 12, 0.7902251510159253, 0.8390993959362988, 0.8220757825370676, 0.8341570565623284, 0.8215266337177375
sst2, 15, 0.827567270730368, 0.8347062053816584, 0.844041735310269, 0.8204283360790774, 0.8473366282262493
sst2, 18, 0.7671609006040637, 0.8325096101043383, 0.8083470620538166, 0.8380010982976387, 0.8374519494783086
sst2, 20, 0.8220757825370676, 0.8264689730917079, 0.8407468423942889, 0.8264689730917079, 0.8385502471169687

subj, numaug, eda_acc, aeda_acc, num_acc, alpha_acc, hybrid_acc
subj, orig_acc: 0.918
subj, 1, 0.923, 0.931, 0.934, 0.93, 0.928
subj, 3, 0.915, 0.92, 0.935, 0.925, 0.932
subj, 6, 0.915, 0.921, 0.929, 0.934, 0.934
subj, 9, 0.91, 0.924, 0.921, 0.92, 0.935
subj, 12, 0.922, 0.927, 0.93, 0.936, 0.936
subj, 15, 0.923, 0.924, 0.933, 0.934, 0.929
subj, 18, 0.919, 0.918, 0.937, 0.926, 0.94
subj, 20, 0.921, 0.934, 0.928, 0.928, 0.92

trec, numaug, eda_acc, aeda_acc, num_acc, alpha_acc, hybrid_acc
trec, orig_acc: 0.886
trec, 1, 0.618, 0.89, 0.874, 0.872, 0.85
trec, 3, 0.612, 0.874, 0.878, 0.876, 0.896
trec, 6, 0.534, 0.896, 0.896, 0.892, 0.908
trec, 9, 0.67, 0.892, 0.9, 0.894, 0.898
trec, 12, 0.682, 0.896, 0.892, 0.902, 0.906
trec, 15, 0.626, 0.9, 0.884, 0.912, 0.912
trec, 18, 0.786, 0.904, 0.92, 0.896, 0.892
trec, 20, 0.598, 0.914, 0.906, 0.922, 0.908

pc, numaug, eda_acc, aeda_acc, num_acc, alpha_acc, hybrid_acc
pc, orig_acc: 0.924560799173269
pc, 1, 0.9033758181191871, 0.9228384429900104, 0.9286944540130899, 0.9249052704099208, 0.9257664485015501
pc, 3, 0.9054426455390975, 0.9252497416465725, 0.9274888046848088, 0.9280055115397864, 0.9254219772648984
pc, 6, 0.9006200482259731, 0.9266276265931794, 0.9228384429900104, 0.9207716155700999, 0.9226662073716845
pc, 9, 0.9025146400275577, 0.9267998622115053, 0.9280055115397864, 0.9197382018601447, 0.9243885635549431
pc, 12, 0.9080261798139855, 0.9252497416465725, 0.9242163279366173, 0.9157767826386497, 0.9240440923182914
