Dataset,Percentage,Original,EDA,AEDA
cr,0.01,0.673170731707317,0.7352549889135255,0.6949002217294901
cr,0.05,0.6953436807095343,0.7330376940133038,0.7929046563192905
cr,0.1,0.6851441241685144,0.7871396895787139,0.7902439024390244
cr,0.2,0.6798226164079824,0.8008869179600888,0.8164079822616408
cr,0.3,0.703769401330377,0.8110864745011087,0.8141906873614191
cr,0.4,0.7476718403547672,0.8026607538802661,0.8124168514412418
cr,0.5,0.7388026607538803,0.8070953436807095,0.8124168514412418
cr,0.6,0.7405764966740577,0.7977827050997782,0.8110864745011087
cr,0.7,0.7915742793791575,0.7982261640798226,0.8186252771618625
cr,0.8,0.7942350332594235,0.8053215077605321,0.8226164079822617
cr,0.9,0.7871396895787139,0.7991130820399113,0.8212860310421286
cr,1.0,0.7853658536585366,0.7942350332594235,0.8212860310421286
pc,0.01,0.8453668618670342,0.8748880468480882,0.8876334826042026
pc,0.05,0.8777127109886325,0.8891491560454702,0.9096107475025835
pc,0.1,0.8854633138132966,0.8946606958318981,0.9162934894936272
pc,0.2,0.8954529796761971,0.9050292800551155,0.9228728901136755
pc,0.3,0.9031002411298656,0.9015845676885981,0.9236307268343094
pc,0.4,0.9049259386841199,0.8967619703754736,0.9247330347915949
pc,0.5,0.90992077161557,0.8919738201860146,0.9250775060282466
pc,0.6,0.9138821908370651,0.8935239407509472,0.925938684119876
pc,0.7,0.9196004133654838,0.896658629004478,0.9259042369962108
pc,0.8,0.919428177747158,0.89900103341371,0.9224250775060282
pc,0.9,0.9207371684464347,0.8975198070961075,0.9250430589045815
pc,1.0,0.9226317602480194,0.8903892524974164,0.9239407509472958
sst2,0.01,0.6015376166941241,0.7792421746293245,0.7898956617243273
sst2,0.05,0.7663920922570017,0.8027457440966502,0.8123009335529929
sst2,0.1,0.7841845140032949,0.8030752333882483,0.8187808896210873
sst2,0.2,0.7970345963756178,0.8118616144975288,0.8229544206479957
sst2,0.3,0.7880285557386052,0.8015376166941242,0.8296540362438221
sst2,0.4,0.8088962108731467,0.8012081274025261,0.828555738605162
sst2,0.5,0.8049423393739703,0.8025260845689182,0.828665568369028
sst2,0.6,0.8096650192202086,0.8076880834706206,0.8313014827018123
sst2,0.7,0.8225151015925316,0.8006589785831961,0.8323997803404722
sst2,0.8,0.8224052718286655,0.8014277869302582,0.8308621636463481
sst2,0.9,0.8251510159253158,0.8068094453596923,0.828006589785832
sst2,1.0,0.82943437671609,0.80164744645799,0.8308621636463481
subj,0.01,0.7218,0.8817999999999999,0.889
subj,0.05,0.8782,0.9028,0.9099999999999999
subj,0.1,0.89,0.9067999999999999,0.921
subj,0.2,0.8987999999999999,0.9108,0.9238
subj,0.3,0.9019999999999999,0.9200000000000002,0.9254000000000001
subj,0.4,0.8974,0.9172,0.9269999999999999
subj,0.5,0.9116,0.9162000000000001,0.9226000000000001
subj,0.6,0.9126000000000001,0.9138,0.9236000000000001
subj,0.7,0.9128000000000001,0.9179999999999999,0.9272
subj,0.8,0.9099999999999999,0.9194000000000001,0.9234
subj,0.9,0.9214,0.9156000000000001,0.9264000000000001
subj,1.0,0.923,0.9138,0.9278000000000001
trec,0.01,0.3364,0.4628,0.7083999999999999
trec,0.05,0.5768,0.6768,0.8116
trec,0.1,0.6616,0.6304000000000001,0.8516
trec,0.2,0.7564,0.6628000000000001,0.892
trec,0.3,0.7716000000000001,0.6724,0.9004
trec,0.4,0.8068,0.6868000000000001,0.9019999999999999
trec,0.5,0.8228,0.6599999999999999,0.9008
trec,0.6,0.8224,0.758,0.9052
trec,0.7,0.834,0.7043999999999999,0.906
trec,0.8,0.8555999999999999,0.7604,0.9088
trec,0.9,0.8539999999999999,0.7455999999999999,0.9164
trec,1.0,0.8708,0.73,0.9096
